Organism	g00	KO	Function
mluteus16	g002605	K02073	(Lipo)protein
mluteus16	g002627	"K00806,K14215"	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids (By similarity)
mluteus16	g001008		
mluteus16	g001564	K00606	"Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is tranferred onto alpha-ketoisovalerate to form ketopantoate (By similarity)"
mluteus16	g002010	K02510	HpcH HpaI aldolase
mluteus16	g002847		
mluteus16	g000672		"Phosphoesterase, PA-phosphatase related"
mluteus16	g002491		PRC-barrel domain-containing protein
mluteus16	g003986		Protein of unknown function (DUF3097)
mluteus16	g001137		Glycosyl transferase family 11
mluteus16	g001459	K06996	glyoxalase bleomycin resistance protein dioxygenase
mluteus16	g001730	"K03380,K14252"	Phenol 2-monooxygenase
mluteus16	g003530	K07053	PHP domain protein
mluteus16	g000378		spermidine synthase
mluteus16	g000411	K03496	"cobyrinic Acid a,c-diamide synthase"
mluteus16	g001312	"K00329,K00356"	NAD dependent epimerase dehydratase
mluteus16	g000133	K12510	type ii secretion system
mluteus16	g000812	K03118	"Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatB, TatC is part of a receptor directly interacting with Tat signal peptides (By similarity)"
mluteus16	g000489	K02967	30S ribosomal protein S2
mluteus16	g003052	K02237	Competence protein
mluteus16	g001549		sugar transferase
mluteus16	g003076	K07816	RelA SpoT domain-containing protein
mluteus16	g000217	K03118	"Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatB, TatC is part of a receptor directly interacting with Tat signal peptides (By similarity)"
mluteus16	g004111	K03118	"Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. Together with TatB, TatC is part of a receptor directly interacting with Tat signal peptides (By similarity)"
mluteus16	g001251	"K00941,K14153"	Phosphomethylpyrimidine kinase
mluteus16	g000587		Transcriptional regulator
mluteus16	g003855		alpha/beta hydrolase fold
mluteus16	g000536	K03190	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter (By similarity)
mluteus16	g003189		Hnh endonuclease
mluteus16	g003636	K06191	Glutaredoxin
mluteus16	g000638	"K11473,K18928"	Cysteine-rich domain protein
mluteus16	g001184	K07052	caax amino terminal protease family protein
mluteus16	g002854		Glycosyl transferase family 11
mluteus16	g000891		Excinuclease ABC subunit C
mluteus16	g000189		Conserved protein
mluteus16	g000765		CoA-transferase family III
mluteus16	g003244		
mluteus16	g001749		Excinuclease ABC subunit C
mluteus16	g004169	K15269	integral membrane protein
mluteus16	g003748		Excinuclease ABC subunit C
mluteus16	g000753	K02237	Competence protein
mluteus16	g004118	K00765	Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity (By similarity)
mluteus16	g000116		
mluteus16	g003487	K02042	phosphonate ABC transporter inner membrane
mluteus16	g001203		
mluteus16	g003007	K07024	Hydrolase
mluteus16	g001518	K00765	Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity (By similarity)
mluteus16	g003405	"K02049,K15555"	abc transporter
mluteus16	g004082		glycosyltransferase group 2 family protein
mluteus16	g003501	K03783	"The purine nucleoside phosphorylases catalyze the phosphorolytic breakdown of the N-glycosidic bond in the beta- (deoxy)ribonucleoside molecules, with the formation of the corresponding free purine bases and pentose-1-phosphate (By similarity)"
mluteus16	g000490		Alpha beta hydrolase fold protein
mluteus16	g000049	"K00868,K00941"	Phosphomethylpyrimidine kinase
mluteus16	g000336	K01644	Citrate lyase
mluteus16	g001606	K07090	integral membrane protein
mluteus16	g000779		Methyltransferase type 11
mluteus16	g001581		Resuscitation-promoting factor
mluteus16	g002682		Beta-lactamase inhibitory protein
mluteus16	g000535		
mluteus16	g002777	K02003	abc transporter
mluteus16	g003241	K06442	hemolysin
mluteus16	g000210		Methyltransferase
mluteus16	g003404		Methyltransferase type 11
mluteus16	g001491		Hydrolase
mluteus16	g002271	K03497	ParB-like partition protein
mluteus16	g003791		
mluteus16	g001678		Major capsid protein
mluteus16	g001579		Glycosyl transferase family 11
mluteus16	g000836	K07497	Transposase
mluteus16	g000482	"K01092,K05602"	histidinol-phosphate phosphatase
mluteus16	g001288	K01126	glycerophosphoryl diester phosphodiesterase
mluteus16	g003417	"K01719,K13542"	Uroporphyrinogen-III synthase
mluteus16	g000300	K02886	"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity"
mluteus16	g002861	K01104	#NAME?
mluteus16	g000462		branched-chain amino acid
mluteus16	g003223	K02357	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome (By similarity)
mluteus16	g000936	K00981	Phosphatidate cytidylyltransferase
mluteus16	g003836	K01079	phosphoserine phosphatase
mluteus16	g003109		
mluteus16	g003652		branched-chain amino acid
mluteus16	g002533	K03524	biotin acetyl-CoA-carboxylase ligase
mluteus16	g002970		Hydrolase
mluteus16	g001238	K02351	"cytochrome c oxidase caa3-type, assembly factor CtaG-like protein"
mluteus16	g000121	K06221	reductase
mluteus16	g000793	K06153	Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin (By similarity)
mluteus16	g000048	K01174	Staphylococcal nuclease homologue
mluteus16	g002319	K00011	aldo keto reductase
mluteus16	g002294	K02611	phenylacetate-CoA oxygenase PaaI subunit
mluteus16	g000384		Alpha beta hydrolase fold protein
mluteus16	g002702	K00560	Provides the sole de novo source of dTMP for DNA biosynthesis (By similarity)
mluteus16	g000279	K07001	K07001 NTE family protein
mluteus16	g000666	K00286	Pyrroline-5-carboxylate reductase
mluteus16	g002651		Hydrolase
mluteus16	g002450		
mluteus16	g000321	K02029	amino acid ABC transporter
mluteus16	g002736		
mluteus16	g001103	K01142	exodeoxyribonuclease III
mluteus16	g000303	K02601	"Participates in transcription elongation, termination and antitermination (By similarity)"
mluteus16	g001471		Transcriptional regulator
mluteus16	g002106	"K12818,K18711"	helicase
mluteus16	g003598	K00886	polyphosphate glucokinase
mluteus16	g000140	K01990	"ABC, transporter"
mluteus16	g001012	"K02028,K09972,K10008"	"ABC transporter, ATP-binding protein"
mluteus16	g002584		Heparinase II/III-like protein
mluteus16	g002665	K03969	Phage shock protein A
mluteus16	g002828	"K02013,K05776"	abc transporter
mluteus16	g001957		
mluteus16	g003704		
mluteus16	g003773		Conserved protein
mluteus16	g000877	K07054	metallopeptidase
mluteus16	g003228	K03584	Involved in DNA repair and RecF pathway recombination (By similarity)
mluteus16	g003601	K05810	Multi-copper polyphenol oxidoreductase laccase
mluteus16	g003326	K02030	ABC transporter substrate-binding protein
mluteus16	g000676	K02982	"Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation (By similarity)"
mluteus16	g001696		(LipO)protein
mluteus16	g003257	K05799	Transcriptional regulator
mluteus16	g003112	K02074	abc transporter
mluteus16	g001955		
mluteus16	g001388	K03149	"Catalyzes the rearrangement of 1-deoxy-D-xylulose 5- phosphate (DXP) to produce the thiazole phosphate moiety of thiamine. Sulfur is provided by the thiocarboxylate moiety of the carrier protein ThiS. In vitro, sulfur can be provided by H(2)S (By similarity)"
mluteus16	g002835		spermidine synthase
mluteus16	g000026		
mluteus16	g004039	"K02109,K02113"	"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)"
mluteus16	g002025	K00449	"protocatechuate 3,4-dioxygenase beta subunit"
mluteus16	g000141	K01130	Beta-lactamase
mluteus16	g001659	"K01069,K07455"	Beta-lactamase domain protein
mluteus16	g002107		Peptidoglycan binding domain-containing protein
mluteus16	g001041		insertion element IS1121 transposase
mluteus16	g003722		
mluteus16	g001614	K00449	"protocatechuate 3,4-dioxygenase beta subunit"
mluteus16	g003994		UPF0317 protein
mluteus16	g000524	"K02026,K10238"	Binding-protein-dependent transport systems inner membrane component
mluteus16	g003327	K07132	AtP-binding protein
mluteus16	g000416		growth
mluteus16	g004072		
mluteus16	g000483	K01028	CoA-transferase subunit A
mluteus16	g002044	K07024	hydrolase
mluteus16	g000316		Nudix hydrolase
mluteus16	g000520	"K02428,K02499,K04765"	nucleoside triphosphate pyrophosphohydrolase
mluteus16	g001990		cobalamin synthesis protein
mluteus16	g002510	"K02428,K02499,K04765"	nucleoside triphosphate pyrophosphohydrolase
mluteus16	g003754	K05847	ABC transporter
mluteus16	g001492		Protein of unknown function (DUF429)
mluteus16	g000355		Glycosyl Transferase
mluteus16	g001234	"K01174,K07038"	nuclease
mluteus16	g000664	K10773	endonuclease III
mluteus16	g003380	K01695	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate (By similarity)
mluteus16	g000964		Alpha beta hydrolase
mluteus16	g003062	"K01609,K01817,K13498"	Indole-3-glycerol phosphate synthase
mluteus16	g003409		Protein of unknown function (DUF1648)
mluteus16	g000083	K05589	Septum formation initiator
mluteus16	g002467		Protein of unknown function (DUF1648)
mluteus16	g002913	K03889	cytochrome C
mluteus16	g003280		Protein of unknown function (DUF1648)
mluteus16	g000699	K06966	decarboxylase family
mluteus16	g001913	K07497	Integrase
mluteus16	g003621	"K02028,K10008"	abc transporter atp-binding protein
mluteus16	g003731	K07497	Integrase
mluteus16	g000904		N-acetylmuramoyl-L-alanine amidase family 2
mluteus16	g003974	K15866	Enoyl-CoA hydratase
mluteus16	g001248	K02108	it plays a direct role in the translocation of protons across the membrane (By similarity)
mluteus16	g001211		
mluteus16	g002477	K01692	Enoyl-CoA hydratase
mluteus16	g003478	K02003	abc transporter atp-binding protein
mluteus16	g004144		
mluteus16	g001157		
mluteus16	g001596	K07497	Transposase
mluteus16	g003743	K01715	Enoyl-CoA hydratase
mluteus16	g002660		Phosphoribosyl transferase domain
mluteus16	g000911	K07025	"Had-superfamily hydrolase, subfamily ia, variant"
mluteus16	g001455		phospholipase d
mluteus16	g000258		Phosphoribosyl transferase domain
mluteus16	g000158	K09861	UPF0246 protein
mluteus16	g003163	K01816	Catalyzes the reversible isomerization between hydroxypyruvate and 2-hydroxy-3-oxopropanoate (also termed tartronate semialdehyde) (By similarity)
mluteus16	g000980	K16066	Dehydrogenase
mluteus16	g000469		5-carboxymethyl-2-hydroxymuconate Delta-isomerase (EC 5.3.3.10)
mluteus16	g001698	K01952	Phosphoribosylformylglycinamidine synthase I
mluteus16	g002302	K01951	glutamine amidotransferase
mluteus16	g000282	K01992	ABC transporter
mluteus16	g000361	K01990	"ABC, transporter"
mluteus16	g003814	K01246	Dna-3-methyladenine glycosylase i
mluteus16	g004130	K03496	cobyrinic acid aC-diamide synthase
mluteus16	g001716	"K01104,K03741,K18701"	PHOsphatase
mluteus16	g003568		integral membrane protein
mluteus16	g002662	K00082	bifunctional deaminase-reductase domain protein
mluteus16	g004012	K01951	glutamine amidotransferase
mluteus16	g001014		integral membrane protein
mluteus16	g002125	K05833	abc transporter
mluteus16	g000486	K00215	"Dihydrodipicolinate reductase, C-terminus"
mluteus16	g000079	"K00239,K00240,K01613"	succinate dehydrogenase
mluteus16	g004090	K00983	cytidylyltransferase
mluteus16	g003088		Protein of unknown function (DUF2910)
mluteus16	g001372	K01265	Removes the N-terminal methionine from nascent proteins (By similarity)
mluteus16	g001510	K01803	Triose-phosphate isomerase
mluteus16	g000005		Domain of unknown function (DUF955)
mluteus16	g004051	K07492	Transposase
mluteus16	g003894		
mluteus16	g001275		CGNR zinc finger
mluteus16	g000932	"K00989,K02428"	Phosphorolytic exoribonuclease that removes nucleotide residues following the -CCA terminus of tRNA and adds nucleotides to the ends of RNA molecules by using nucleoside diphosphates as substrates (By similarity)
mluteus16	g001612	"K01055,K01857,K14727"	3-oxoadipate enol-lactonase
mluteus16	g001580		
mluteus16	g004031	"K02016,K09125"	Membrane
mluteus16	g003288		regulator
mluteus16	g003178	K07238	Mediates zinc uptake. May also transport other divalent cations (By similarity)
mluteus16	g001632		Bile acid sodium symporter
mluteus16	g000611		CGNR zinc finger
mluteus16	g003164	"K02081,K02530,K03436"	"Transcriptional Regulator, DeoR family"
mluteus16	g000414	K06997	"pyridoxal phosphate enzyme, YggS family"
mluteus16	g001499	K07238	Mediates zinc uptake. May also transport other divalent cations (By similarity)
mluteus16	g003749		Alpha beta hydrolase fold
mluteus16	g000998		Iclr family transcriptional regulator
mluteus16	g003122	"K01814,K01817"	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
mluteus16	g002884	K02564	Catalyzes the reversible isomerization-deamination of glucosamine 6-phosphate (GlcN6P) to form fructose 6-phosphate (Fru6P) and ammonium ion (By similarity)
mluteus16	g000339	K15866	Enoyl-CoA hydratase
mluteus16	g000372		Inherit from NOG: (ABC) transporter
mluteus16	g004065	"K01617,K02509"	hydratase
mluteus16	g001697		peptidase C60 sortase A and B
mluteus16	g001162	K01715	Enoyl-CoA hydratase
mluteus16	g000041		Nitrilase cyanide hydratase and apolipoprotein N-acyltransferase
mluteus16	g001281		
mluteus16	g004124		LysR family Transcriptional regulator
mluteus16	g000507		
mluteus16	g001634		IstB domain-containing protein ATP-binding protein
mluteus16	g001759	K07090	Sulfite exporter TauE/SafE
mluteus16	g003420	K03496	Cobyrinic acid ac-diamide synthase
mluteus16	g000784	K03521	Electron transfer flavoprotein
mluteus16	g001174		phosphatidylinositol 3-and 4-kinase
mluteus16	g002964		phosphatidylinositol 3-and 4-kinase
mluteus16	g003608	K02041	Phosphonate ABC transporter
mluteus16	g000263		LmbE family
mluteus16	g002781		
mluteus16	g002783		phospholipase d
mluteus16	g000030	K02036	Part of the ABC transporter complex PstSACB involved in phosphate import. Responsible for energy coupling to the transport system (By similarity)
mluteus16	g003061		Rhomboid family
mluteus16	g002434		Protein of unknown function (DUF2637)
mluteus16	g002473	"K01174,K07038"	nuclease
mluteus16	g004143		SAF domain-containing protein
mluteus16	g000419		Protein of unknown function (DUF3710)
mluteus16	g003868		
mluteus16	g003275	K01992	(ABC) transporter
mluteus16	g004181		Alpha beta hydrolase fold
mluteus16	g003362		Membrane-bound metal-dependent hydrolase
mluteus16	g003123		
mluteus16	g002731	K03340	Diaminopimelate dehydrogenase
mluteus16	g002671		
mluteus16	g001285		
mluteus16	g001578		Glycosyl transferase family 11
mluteus16	g001996	"K01533,K17686,K19597"	p-type atpase
mluteus16	g001687		Dehydrogenase
mluteus16	g000518	"K00806,K12503"	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids (By similarity)
mluteus16	g002713		"Acetyltransferase, GNAT family protein"
mluteus16	g001237		methyltransferase
mluteus16	g002806		Membrane-bound metal-dependent hydrolase
mluteus16	g000193	"K01663,K02500,K11755"	"IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisF subunit catalyzes the cyclization activity that produces IGP and AICAR from PRFAR using the ammonia provided by the HisH subunit (By similarity)"
mluteus16	g002744	K05799	gntR family transcriptional regulator
mluteus16	g001384		biotin lipoate A B protein ligase
mluteus16	g004174		Transcriptional regulator
mluteus16	g001755		Membrane-bound metal-dependent hydrolase
mluteus16	g003854		IclR family transcriptional regulator
mluteus16	g000247	K03928	esterase lipase
mluteus16	g002770	K07090	Membrane
mluteus16	g000474		Domain of unknown function (DUF2017)
mluteus16	g002831	K07090	Membrane
mluteus16	g000972	K07160	lamb ycsf family protein
mluteus16	g003679		Protein of unknown function DUF72
mluteus16	g001042	K15866	Enoyl-CoA hydratase
mluteus16	g001139	K07270	Glycosyltransferase
mluteus16	g001639	"K01031,K01034"	CoA-transferase subunit A
mluteus16	g003519		CGNR zinc finger
mluteus16	g000442	K09013	FeS assembly ATPase sufC
mluteus16	g000956		
mluteus16	g001786	K06196	cytochrome c biogenesis
mluteus16	g003890	K07497	Transposase
mluteus16	g001911	"K01031,K01034"	CoA-transferase subunit A
mluteus16	g002357		
mluteus16	g000422		transcriptional regulatory protein
mluteus16	g001433		Iclr family transcriptional regulator
mluteus16	g004023	K02003	abc transporter
mluteus16	g000431	K09761	Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit (By similarity)
mluteus16	g000763	"K16784,K16785,K16786,K16787"	abc transporter
mluteus16	g001587		Protein of unknown function (DUF1264)
mluteus16	g000790		insertion element IS1121 transposase
mluteus16	g001694	"K01174,K07038"	nuclease
mluteus16	g001568	"K01090,K11890,K11915,K20074"	phosphatase
mluteus16	g001447	K02003	abc transporter atp-binding protein
mluteus16	g000791		Short chain dehydrogenase
mluteus16	g001772	K01834	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)
mluteus16	g001563	K06997	"pyridoxal phosphate enzyme, YggS family"
mluteus16	g002929		
mluteus16	g002318		helper protein
mluteus16	g000404		Membrane
mluteus16	g000683	K02013	ABC transporter
mluteus16	g001721	K06196	cytochrome c biogenesis
mluteus16	g000693	K05846	"Binding-protein-dependent transport systems, inner membrane component"
mluteus16	g000620		Inherit from NOG: NmrA family
mluteus16	g000161		Gp37Gp68 family
mluteus16	g000312	K06196	cytochrome c biogenesis
mluteus16	g002297	K03183	Methyltransferase required for the conversion of demethylmenaquinone (DMKH2) to menaquinone (MKH2) (By similarity)
mluteus16	g003781	K11752	"Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate (By similarity)"
mluteus16	g001330	K03470	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids (By similarity)
mluteus16	g003751		Membrane-bound metal-dependent hydrolase
mluteus16	g003800		peptidoglycaN-binding lysin domain
mluteus16	g001611		DsbA oxidoreductase
mluteus16	g002525	K03100	Signal peptidase i
mluteus16	g004098	K03100	Signal peptidase i
mluteus16	g000257		peptidoglycaN-binding lysin domain
mluteus16	g002352		
mluteus16	g000995		Inherit from NOG: (ABC) transporter
mluteus16	g003863		cobalamin (vitamin B12) biosynthesis CbiX protein
mluteus16	g000678	K02988	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body (By similarity)
mluteus16	g003214	K06196	cytochrome c biogenesis
mluteus16	g001794	K06196	cytochrome c biogenesis
mluteus16	g001252	K01246	Dna-3-methyladenine glycosylase i
mluteus16	g001267	K06196	cytochrome c biogenesis
mluteus16	g000209	"K00059,K11610"	reductase
mluteus16	g001090	"K00554,K01770"	Specifically methylates guanosine-37 in various tRNAs (By similarity)
mluteus16	g002204	K07566	sua5 ycio yrdc ywlc family protein
mluteus16	g001266		DsbA oxidoreductase
mluteus16	g003545	K01834	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)
mluteus16	g003785	K01077	SNARE associated Golgi
mluteus16	g001357		
mluteus16	g002041		Metallo-beta-lactamase superfamily
mluteus16	g003558	K03100	Signal peptidase i
mluteus16	g003561		merr family transcriptional regulator
mluteus16	g000137	K00788	Condenses 4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate (THZ-P) and 2-methyl-4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-PP) to form thiamine monophosphate (TMP) (By similarity)
mluteus16	g000885		
mluteus16	g002493	K06988	"NADP oxidoreductase, coenzyme f420-dependent"
mluteus16	g000876		Membrane
mluteus16	g002782		Pfam:DUF88
mluteus16	g001475	K06988	"NADP oxidoreductase, coenzyme f420-dependent"
mluteus16	g000717		"HAD-superfamily hydrolase subfamily IA, variant 3"
mluteus16	g000380	K13953	alcohol dehydrogenase
mluteus16	g001970	"K00554,K01770"	Specifically methylates guanosine-37 in various tRNAs (By similarity)
mluteus16	g002873	K01154	restriction modification system DNA specificity domain
mluteus16	g001868		Protein of unknown function (DUF1275)
mluteus16	g001719		
mluteus16	g003799		DsbA oxidoreductase
mluteus16	g002178	"K03595,K03685"	"Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Also processes some mRNAs, and tRNAs when they are encoded in the rRNA operon (By similarity)"
mluteus16	g001771	K05306	Hydrolase
mluteus16	g002919		
mluteus16	g003822		Pfam:DUF1994
mluteus16	g003912	K07160	LamB YcsF family protein
mluteus16	g001490	"K03574,K13522"	Nudix hydrolase
mluteus16	g003656	K07164	Zn-ribbon protein possibly nucleic acid-binding
mluteus16	g001408	K15359	Inherit from bactNOG: Pfam:DUF88
mluteus16	g000274	"K03574,K13522"	Nudix hydrolase
mluteus16	g001754		LrgB family
mluteus16	g003755	K05846	ABC transporter permease
mluteus16	g004166		X-Pro dipeptidyl-peptidase (S15 family)
mluteus16	g003436	K07497	Transposase
mluteus16	g002984		DUF218 domain
mluteus16	g003238	"K00945,K13799"	Cytidine monophosphate kinase
mluteus16	g000747	K00721	glycosyl transferase
mluteus16	g001250	K07566	sua5 ycio yrdc ywlc family protein
mluteus16	g002943		Methyltransferase type 11
mluteus16	g000999		Transcriptional regulator
mluteus16	g002999	K02879	50S ribosomal protein L17
mluteus16	g002298	"K02483,K07669"	Two component transcriptional regulator (Winged helix family
mluteus16	g001048	K05799	gntR family transcriptional regulator
mluteus16	g003602	K03589	Cell division protein FtsQ
mluteus16	g000630		Transcriptional regulator
mluteus16	g003844		esterase
mluteus16	g003355		trna rrna methyltransferase
mluteus16	g003864	K00390	Reduction of activated sulfate into sulfite (By similarity)
mluteus16	g003008	K01061	carboxymethylenebutenolidase (EC 3.1.1.45)
mluteus16	g001153	K07775	"Two component transcriptional regulator, winged helix family"
mluteus16	g001623	K06999	Phospholipase Carboxylesterase
mluteus16	g002988	K02049	abc transporter
mluteus16	g002272	K03501	Specifically methylates the N7 position of a guanine in 16S rRNA (By similarity)
mluteus16	g003770		
mluteus16	g004056	K04763	Integrase
mluteus16	g001205		
mluteus16	g000992		
mluteus16	g001387		
mluteus16	g002111	K02003	(ABC) transporter
mluteus16	g001751	K02440	glycerol uptake facilitator protein
mluteus16	g001480	"K03709,K11924"	"iron (Metal) dependent repressor, DtxR family"
mluteus16	g003967		Alpha Beta
mluteus16	g003752		
mluteus16	g004171	K07025	"Had-superfamily hydrolase, subfamily ia, variant"
mluteus16	g002606		
mluteus16	g000519	K11068	"channel protein, hemolysin iii family"
mluteus16	g003272		
mluteus16	g001347	K07025	"Had-superfamily hydrolase, subfamily ia, variant"
mluteus16	g000916	"K02475,K07702,K07703"	transcriptional regulatory protein
mluteus16	g000267	K09162	chlorite dismutase
mluteus16	g000537	K03188	Required for maturation of urease via the functional incorporation of the urease nickel metallocenter (By similarity)
mluteus16	g003453	K01356	"Represses a number of genes involved in the response to DNA damage (SOS response), including recA and lexA. In the presence of single-stranded DNA, RecA interacts with LexA causing an autocatalytic cleavage which disrupts the DNA-binding part of LexA, leading to derepression of the SOS regulon and eventually DNA repair (By similarity)"
mluteus16	g002561	K03088	RNA polymerase sigma factor
mluteus16	g002462		HTH_ICLR
mluteus16	g003442	K03499	TrkA-N domain protein
mluteus16	g000280		Sulfatase-modifying factor enzyme 1
mluteus16	g003053		Tetr family transcriptional regulator
mluteus16	g001796		Cation efflux protein
mluteus16	g002371		Protein of unknown function DUF262
mluteus16	g003138		
mluteus16	g000067	"K02483,K07669"	regulator
mluteus16	g002021		
mluteus16	g001767		
mluteus16	g000712	"K00655,K13509"	Acyltransferase
mluteus16	g001056		GntR family transcriptional regulator
mluteus16	g000301	K02863	"Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release (By similarity)"
mluteus16	g003174		
mluteus16	g001232	"K00639,K00652"	8-amino-7-oxononanoate synthase
mluteus16	g000250	K01515	Nudix hydrolase
mluteus16	g000226	"K00891,K13829,K15546"	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate (By similarity)
mluteus16	g000389		gntR family transcriptional regulator
mluteus16	g001173	"K01834,K15634"	phosphoglycerate mutase
mluteus16	g002680	"K01834,K15634"	phosphoglycerate mutase
mluteus16	g001731		insertion element IS1121 transposase
mluteus16	g001438		"AAA, ATPase"
mluteus16	g003320		peptidase C60 sortase A and B
mluteus16	g000451	K03811	Nicotinamide Mononucleotide Transporter
mluteus16	g003441		Protein of unknown function (DUF3159)
mluteus16	g004126		Prokaryotic protein of unknown function (DUF849)
mluteus16	g003643	"K00891,K13829,K15546"	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate (By similarity)
mluteus16	g002918		Transcriptional regulator
mluteus16	g002073	"K01710,K13013"	Polysaccharide biosynthesis protein
mluteus16	g003977	K02062	"ABC, transporter"
mluteus16	g000337		GntR family transcriptional regulator
mluteus16	g000241	K03801	Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity)
mluteus16	g002191	"K07665,K07666"	"Two component transcriptional regulator, winged helix family"
mluteus16	g001986	K07238	integral membrane protein
mluteus16	g000237	K03499	TrkA-N domain protein
mluteus16	g003271	"K00560,K01271"	Impact family member yigz
mluteus16	g003876	K07260	carboxy-peptidase
mluteus16	g003097		(LipO)protein
mluteus16	g003485	"K02043,K03710"	"Transcriptional regulator, GntR family"
mluteus16	g003285	K06400	Resolvase domain protein
mluteus16	g000740		HTH_LUXR
mluteus16	g001170	K06188	MIP family channel protein
mluteus16	g002432		
mluteus16	g003033	K03652	3-Methyladenine DNA glycosylase
mluteus16	g000942		Protein of unknown function (DUF3618)
mluteus16	g000381		thiJ PfpI domain-containing protein
mluteus16	g002792	K01724	Transcriptional coactivator pterin dehydratase
mluteus16	g001147	K06287	Maf-like protein
mluteus16	g002990		
mluteus16	g000648	"K02003,K06857,K09810"	(ABC) transporter
mluteus16	g000710		Integrase
mluteus16	g001096	K01420	"transcriptional regulator, crp fnr family"
mluteus16	g002891	K07503	Cleaves both 3' and 5' ssDNA extremities of branched DNA structures (By similarity)
mluteus16	g002926	K15342	"CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Acts as a dsDNA endonuclease. May be involved in the integration of spacer DNA into the CRISPR cassette (By similarity)"
mluteus16	g003947		
mluteus16	g001047	K00782	Conserved protein
mluteus16	g000945	K01154	restriction modification system DNA specificity domain
mluteus16	g000070		
mluteus16	g002601		Tetr family transcriptional regulator
mluteus16	g001182	K06999	Phospholipase Carboxylesterase
mluteus16	g000366		response regulator
mluteus16	g001024		Major facilitator superfamily
mluteus16	g001004	K00299	fmn reductase
mluteus16	g001951		GntR family transcriptional regulator
mluteus16	g003503	K01619	Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate (By similarity)
